date,location,transect,strata,quadrat_number,slope,total_transect_length_m,transect_location,quadrat_or_core_volume,site_salinity_psu,buoy_SST,buoy_SWH_m,tidal_range (m),pc_can_Fucus,pc_can_Ascophyllum,pc_can_Vertebrata_lanosa,pc_can_Chondrus_crispus,pc_can_Corallina_officinalis,"pc_can_Cladophora_rupestris
",pc_can_Leathesia_difformis,pc_Littorina_obtusata,pc_can_Ulva_intestinalis,pc_und_cyanobacteria,pc_und_Semibalanus_balanoides,pc_und_hildenbrandia,pc_und_unknown_filamentous_green algae,pc_und_cladophora,pc_und_Mytilus_edulis,pc_und_Corallina_officinalis,abun_Littorina_littorea,abun_Gammarus_oceanicus,abun_Nucella_lapillus,abun_Porphyra_umbilicalis,abun_Dyspanopeus_sayi,abun_Acmaea_testudinalis,abun_Littorina_obtusata,abun_Mya_arenaria,abun_Littorina_saxatilis,abun_Nephtys_caeca,abun_Neanthes_virens,abun_Margarites_helcinus,abun_Mytilus_edulis,abun_Corophium_volutator,abun_Siliqua_costata,abun_Yoldria_limatula,abun_Clitellio_spp,abun_Glycera_dibranchiata,abun_Neris_pelagica,abun_chiridotea_spp,abun_clymenella_torquata_spp,abun_Nephtyus_caeca,abun_ Crepidula_fornicata,abun_Cerebratulus_lacteus,abun_Neanthes_virens,abun_Pagurus_longicarpus,abun_Carcinus_maenas,Notes
09-Jul-13,Cranberry Cove,C,h,2,0.0377,29,5,,33,16.2,0.487,1.4,0,0,0,0,0,0,0,0.00004916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
09-Jul-13,Cranberry Cove,C,m,1,0.0377,29,8,,33,16.2,0.487,1.4,0.674,0,0,0,0,0,0,0,0,0,0.0099,0.624,,0,0.000115,0,27,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
09-Jul-13,Cranberry Cove,C,m,2,0.0377,29,14,,33,16.2,0.487,1.4,0.956,0.044,0,0,0,0,0,0.0006095,0,0,0.0024,0,0,0,0.019626,0,0,0,0,0,0,0,3,0,1,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
09-Jul-13,Cranberry Cove,C,l,1,0.0377,29,27,,33,16.2,0.487,1.4,0.135,0.044,0,0.26,0,0,0.368,0,0,0,0.0254,0,0.1433,0,0.9733,0.0215,0,6,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
09-Jul-13,Cranberry Cove,C,l,2,0.0377,29,22,,33,16.2,0.487,1.4,0,0.9334,0.0666,0,0,0,0,0,0,0,0.0853,0,0.4991,0,0.4156,0,0,23,12,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
07/10/2013,Eastern Passage,A,h,1,0.006632653,120,7,0.00053,33,15,0.9,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
07/10/2013,Eastern Passage,A,h,1,0.006632653,120,11,0.01,33,15,0.9,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
07/10/2013,Eastern Passage,A,m,1,0.006632653,120,33,0.0043,33,15,0.9,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
07/10/2013,Eastern Passage,A,m,1,0.006632653,120,35,0.0043,33,15,0.9,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
07/10/2013,Eastern Passage,A,l,1,0.006632653,120,90,0.0043,33,15,0.9,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
07/10/2013,Eastern Passage,A,l,1,0.006632653,120,97,0.0043,33,15,0.9,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
07/10/2013,Eastern Passage,B,h,1,0.00661017,120,18,0.01,33,15,0.9,1.2,0,0,0,0,0,0,0,0,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
07/10/2013,Eastern Passage,B,h,1,0.00661017,120,22,0.00053,33,15,0.9,1.2,0,0,0,0,0,0,0,0,0.0248,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
07/10/2013,Eastern Passage,B,m,1,0.00661017,120,18,,33,15,0.9,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,94,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
07/10/2013,Eastern Passage,B,m,1,0.00661017,120,20,,33,15,0.9,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
07/10/2013,Eastern Passage,B,l,1,0.00661017,120,107,,33,15,0.9,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
07/10/2013,Eastern Passage,B,l,1,0.00661017,120,104,,33,15,0.9,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
07/10/2013,Eastern Passage,C,h,1,0.007977528,120,15,0.00053,33,15,0.9,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
07/10/2013,Eastern Passage,C,h,1,0.007977528,120,24,0.00053,33,15,0.9,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
07/10/2013,Eastern Passage,C,m,1,0.007977528,120,NA,,33,15,0.9,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
07/10/2013,Eastern Passage,C,m,1,0.007977528,120,NA,,33,15,0.9,1.2,0.956,0.044,0,0,0,0,0,0.002438,0,0,0.0024,0,0,0,0.019626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
07/10/2013,Eastern Passage,C,l,1,0.007977528,120,78,0.00086,33,15,0.9,1.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,27,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
07/10/2013,Eastern Passage,C,l,1,0.007977528,120,NA,0.00086,33,15,0.9,1.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7/15/2013,Bear River,A,h,1,0.022746479,165,15.426,,25,17.3,0.6,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,1,0,0,0,0,0,0,0,0,0,
7/15/2013,Bear River,A,h,1,0.022746479,165,52.277,,25,17.3,0.6,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0,1,0,0,0,0,0,0,0,0,0,0,
7/15/2013,Bear River,A,m,1,0.022746479,165,73.702,0.00053,25,17.3,0.6,6.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,
7/15/2013,Bear River,A,m,1,0.022746479,165,NA,NA,25,17.3,0.6,6.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7/15/2013,Bear River,A,l,1,0.022746479,165,119.123,0.0043,25,17.3,0.6,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7/15/2013,Bear River,A,l,1,0.022746479,165,NA,NA,25,17.3,0.6,6.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not sampled
7/15/2013,Bear River,B,h,1,0.026311475,165,6.856,,25,17.3,0.6,6.3,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,
7/15/2013,Bear River,B,h,1,0.026311475,165,47.992,0.00405,25,17.3,0.6,6.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7/15/2013,Bear River,B,m,1,0.026311475,165,64.275,0.00405,25,17.3,0.6,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,
7/15/2013,Bear River,B,m,1,0.026311475,165,94.27,0.00405,25,17.3,0.6,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No core sampled
7/15/2013,Bear River,B,l,1,0.026311475,165,126.836,0.00086,25,17.3,0.6,6.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7/15/2013,Bear River,B,l,1,0.026311475,165,136.263,,25,17.3,0.6,6.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7/15/2013,Bear River,C,h,1,0.02608,148.68,20.35 m,,25,17.3,0.6,6.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no core sampled
7/15/2013,Bear River,C,h,1,0.02608,148.68,40.69m ,,25,17.3,0.6,6.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,
7/15/2013,Bear River,C,m,1,0.02608,148.68,70.43 m,,25,17.3,0.6,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
7/15/2013,Bear River,C,m,1,0.02608,148.68,98.60 m,,25,17.3,0.6,6.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no core sampled
7/15/2013,Bear River,C,l,1,0.02608,148.68,NA,,25,17.3,0.6,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
7/15/2013,Bear River,C,l,1,0.02608,148.68,NA,,25,17.3,0.6,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7/18/2013,Wolfville,A,h,1,0.012920792,553.622,61.704,0.00405,31,16.8,1.1,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
7/18/2013,Wolfville,A,h,1,0.012920792,553.622,179.97,0.00405,31,16.8,1.1,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
7/18/2013,Wolfville,A,m,1,0.012920792,553.622,244.245,,31,16.8,1.1,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7/18/2013,Wolfville,A,m,1,0.012920792,553.622,328.231,,31,16.8,1.1,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,
7/18/2013,Wolfville,A,l,1,0.012920792,553.622,453.353,0.00645,31,16.8,1.1,9.5,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,
7/18/2013,Wolfville,A,l,1,0.012920792,553.622,487.633,0.00645,31,16.8,1.1,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
7/18/2013,Wolfville,B,h,1,0.013316062,521,NA,0.00645,31,16.8,1.1,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7/18/2013,Wolfville,B,h,1,0.013316062,521,NA,0.00645,31,16.8,1.1,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7/18/2013,Wolfville,B,m,1,0.013316062,521,332.5,0.00645,31,16.8,1.1,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7/18/2013,Wolfville,B,m,1,0.013316062,521,332.5,0.00645,31,16.8,1.1,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,
7/18/2013,Wolfville,B,l,1,0.013316062,521,418.216,0.002256,31,16.8,1.1,9.5,0,0,0,0,0,0,0,0,0.0609852,0,0,0,0,0,0,0,10,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7/18/2013,Wolfville,B,l,1,0.013316062,521,426.786,0.00186,31,16.8,1.1,9.5,0,0,0,0,0,0,0,0,0.0111352,0,0.62459,0,0,0,0,0,26,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,
7/18/2013,Wolfville,C,h,1,0.013092784,537.6,60.8,,31,16.8,1.1,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7/18/2013,Wolfville,C,h,1,0.013092784,537.6,160,,31,16.8,1.1,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
7/18/2013,Wolfville,C,m,1,0.013092784,537.6,212.8,0.00645,31,16.8,1.1,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,53,1,0,0,0,0,0,0,
7/18/2013,Wolfville,C,m,1,0.013092784,537.6,308.8,0.00645,31,16.8,1.1,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7/18/2013,Wolfville,C,l,1,0.013092784,537.6,390.4,0.00405,31,16.8,1.1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,
7/18/2013,Wolfville,C,l,1,0.013092784,537.6,486.4,0.00405,31,16.8,1.1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7/19/2013,Martinique,A,h,1,0.0348,40,11,0.00645,32,18.1,0.487,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,
7/19/2013,Martinique,A,h,1,0.0348,40,13,0.00645,32,18.1,0.487,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,
7/19/2013,Martinique,A,m,1,0.0348,40,15,0.00405,32,18.1,0.487,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,
7/19/2013,Martinique,A,m,1,0.0348,40,16,0.00405,32,18.1,0.487,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,0,0,0,0,0,
7/19/2013,Martinique,A,l,1,0.0348,40,27,0.00086,32,18.1,0.487,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7/19/2013,Martinique,A,l,1,0.0348,40,32,0.00086,32,18.1,0.487,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7/19/2013,Martinique,B,h,1,0.0297,40,10,0.00645,32,18.1,0.487,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7/19/2013,Martinique,B,h,1,0.0297,40,11,0.00645,32,18.1,0.487,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7/19/2013,Martinique,B,m,1,0.0297,40,14,0.00645,32,18.1,0.487,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7/19/2013,Martinique,B,m,1,0.0297,40,22,0.00645,32,18.1,0.487,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
7/19/2013,Martinique,B,l,1,0.0297,40,27,0.00645,32,18.1,0.487,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7/19/2013,Martinique,B,l,1,0.0297,40,39,0.00645,32,18.1,0.487,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7/19/2013,Martinique,C,h,1,0.0323,40,2,0.0028,32,18.1,0.487,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7/19/2013,Martinique,C,h,1,0.0323,40,7,0.0027,32,18.1,0.487,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7/19/2013,Martinique,C,m,1,0.0323,40,15,0.00645,32,18.1,0.487,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,
7/19/2013,Martinique,C,m,1,0.0323,40,16,0.00645,32,18.1,0.487,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,
7/19/2013,Martinique,C,l,1,0.0323,40,26,0.00405,32,18.1,0.487,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
7/19/2013,Martinique,C,l,1,0.0323,40,29,0.00405,32,18.1,0.487,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
